num,word
1,thing
2,flesh
3,glass
4,friend
5,casino
6,flight
7,women
8,river
9,family
10,jungle
11,estate
12,ideas
13,photo
14,candy
15,pills
16,cops
17,policy
18,prince
19,spirit
20,sale
21,penny
22,bath
23,system
24,year
25,series
26,dozen
27,life
28,client
29,dirt
30,boys
31,mile
32,apple
